id,artist,title,year
00b41bbf4a6ef13e51164da85e7a1762,pg.lost,Pascal's Law,2008.0
00b4ef6e77e06dce2e71ca24b272fb2f,Autechre,Second Bad Vilbel,1995.0
00b74fc84b02800090759fc90f3e2ae7,Aretha Franklin,Don't Play That Song,1971.0
00ba6475bde2d4e3549990052f4636dc,Ayria,Girl on the Floor,2008.0
00bbb5f3a527123fa86b7458f693a0ce,Four Tet,Pyramid,2011.0
00bbda23a890f75e506f8d209ebc1557,Radio Moscow,No Good Woman,2009.0
00bdb3ad18e0a995436d9c6ec26ba1d3,Little Dragon,Nightlight,2011.0
00be599a759862ced25c4ee652cbae9f,First Aid Kit,Emmylou,2012.0
00c1f1aba6069371b339edc918fe02e6,Deep Forest,The Second Twilight,1992.0
00c3a4e866313cfdee299b00d4e39ccf,The Offspring,Half-Truism,2008.0
00c46bc353d68881a89e5bf94bb461f4,Amy Macdonald,The Road To Home,2007.0
00c4b18190d2fe1649f834cb1cf14aa8,Thee Oh Sees,Tidal Wave,2009.0
00c739159ee8f674ea7099dbf852d3d3,Soundgarden,Little Joe,1992.0
00c78b6d4db973ed03062a4cb4d37407,Bob Dylan,Duquesne Whistle,2012.0
00c9ce78ee8d7af5586d8148554b2e8c,The Tallest Man on Earth,Little River,2010.0
00cb72f652accd7bce15e78e3a3c6f66,The Sunshine Underground,Wake Up,2006.0
00cc7fc717552ffeacd00ec5df7be292,Vanessa-Mae,Warm Air,1995.0
00ce63fba78b068b0663cbc77f445e7c,Sepultura,The Curse,1985.0
00d4472503a99fdc5c98729625f21686,Linda Ronstadt,You're No Good,1991.0
00d971d6c60d459bd976473d3c03ff1a,Sade,Nothing Can Come Between Us,1988.0
00dcb6f07cc0e187c0513a2c2880a9f2,The Agonist,When The Bough Breaks,2009.0
00e3aebf67cc697991a21a076af7a981,Kelly Clarkson,Already Gone,2009.0
00e422d8799959e229b14e684cd0e9a8,Brad Paisley,This Is Country Music,2010.0
00e91b945354df2179297df708dc3c14,Tinariwen,Mano Dayak,2006.0
00ec4edd7092672eced380fd8fbe0b46,Aphex Twin,#10,2001.0
00f2b2008bccdba7a5dbee0af9f3df37,M83,Sitting,2001.0
00f36e2038725bfdaddb834142fdb8ab,GusGus,Changes Come,2011.0
00f45988d9edf098fdaf7e6e9d038769,Aesthetic Perfection,Pale,2008.0
00f85b14b65fcd2eba126e58b4ea8e1d,Mano Negra,Out of Time Man,1991.0
00f90ca179ce5d47cb5c1f230ecd65e1,Trivium,Wake (The End Is Nigh),2013.0
00fc861faa8d5cd592ff3c204132c0fa,The Coral,Don't Think You're the First,2003.0
0109ba0c3618dd777d3c91551087fb7b,The Dresden Dolls,Mandy Goes to Med School,2007.0
010e2963fdb67041fc30171bea75b8b3,The Rolling Stones,She Saw Me Coming,2005.0
01110e0c52639cc2239f07e835417093,The Byrds,You Won't Have to Cry,1965.0
011178617b758b6bc962511a0b353ee1,Millencolin,Lozin' Must,1997.0
